Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-03-07 08-AM,BTCEUR,8074.7,8093.7,8066.4,8092.1,31.93,258028.34
2020-03-07 07-AM,BTCEUR,8061.3,8075,8039,8074.7,58.19,468936.78
2020-03-07 06-AM,BTCEUR,8069.8,8083.2,8061.3,8061.3,44.06,355760.55
2020-03-07 05-AM,BTCEUR,8065.6,8073.7,8054.1,8069.8,20.52,165330.91
2020-03-07 04-AM,BTCEUR,8078.9,8091.7,8059.2,8065.6,21.57,174175.0
2020-03-07 03-AM,BTCEUR,8086.3,8096.1,8075.7,8078.9,5.551,44872.33
2020-03-07 02-AM,BTCEUR,8076.7,8091.6,8072.1,8086.3,19.12,154542.1
2020-03-07 01-AM,BTCEUR,8110,8114.8,8070.2,8076.7,44.34,358276.41
2020-03-07 12-AM,BTCEUR,8118.3,8119.9,8088.8,8110,49.21,398871.2
2020-03-06 11-PM,BTCEUR,8092.2,8122.4,8089.6,8118.3,72.18,585419.47
2020-03-06 10-PM,BTCEUR,8097.8,8099.9,8054.2,8092.2,50.07,404922.8
2020-03-06 09-PM,BTCEUR,8077.8,8098,8075.7,8097.8,50.41,407747.19
2020-03-06 08-PM,BTCEUR,8054.2,8081.8,8054.2,8077.8,61.94,500029.49
2020-03-06 07-PM,BTCEUR,8055.7,8072.7,8046.1,8054.2,75.92,611743.19
2020-03-06 06-PM,BTCEUR,8057.8,8064.7,8045.5,8055.7,65.38,526581.84
2020-03-06 05-PM,BTCEUR,8030.2,8058.9,8030.1,8057.8,114.01,917218.1
2020-03-06 04-PM,BTCEUR,7988.8,8040.9,7988.8,8030.2,192.73,1545553.45
2020-03-06 03-PM,BTCEUR,8020,8042.9,7988.8,7988.8,284.63,2283100.67
2020-03-06 02-PM,BTCEUR,8029.8,8056,8003.4,8020,261.94,2103616.26
2020-03-06 01-PM,BTCEUR,8082.9,8087.6,8023.2,8029.8,174.92,1409698.11
2020-03-06 12-PM,BTCEUR,8084.5,8088.2,8063.6,8082.9,110.93,895880.61
2020-03-06 11-AM,BTCEUR,8109.8,8122.6,8082.8,8084.5,233.48,1891388.04
2020-03-06 10-AM,BTCEUR,8093.4,8116.3,8063.6,8109.8,277.89,2246881.49
2020-03-06 09-AM,BTCEUR,8106.3,8119.7,8088.5,8093.4,175.37,1421129.51
2020-03-06 08-AM,BTCEUR,8117.5,8126.4,8073.5,8106.3,319.26,2586907.28
2020-03-06 07-AM,BTCEUR,8120.1,8151.5,8111,8117.5,154.84,1258402.02
2020-03-06 06-AM,BTCEUR,8125.7,8138.9,8115,8120.1,46.8,380441.5
2020-03-06 05-AM,BTCEUR,8073,8127.4,8065.5,8125.7,36.33,294378.98
2020-03-06 04-AM,BTCEUR,8061.7,8077.8,8046.6,8073,16.85,135880.7
2020-03-06 03-AM,BTCEUR,8080.1,8087,8061.7,8061.7,9.995,80720.63
2020-03-06 02-AM,BTCEUR,8038.9,8095.3,8038.9,8080.1,47.63,384980.38
2020-03-06 01-AM,BTCEUR,8026.5,8063.2,8023.2,8038.9,31.16,250732.69
2020-03-06 12-AM,BTCEUR,8082.3,8102.9,8017.6,8026.5,93.81,756674.31
2020-03-05 11-PM,BTCEUR,8082.7,8100.3,8060.9,8082.3,65.35,527835.6
2020-03-05 10-PM,BTCEUR,8121.4,8133.3,8073.5,8082.7,97.85,793158.52
2020-03-05 09-PM,BTCEUR,8127.7,8148.3,8111.6,8121.4,95.76,778435.7
2020-03-05 08-PM,BTCEUR,8186.3,8189.9,8102.1,8127.7,232.73,1891784.39
2020-03-05 07-PM,BTCEUR,8157.7,8186.3,8135.6,8186.3,99.91,814866.78
2020-03-05 06-PM,BTCEUR,8134.7,8157.9,8115.4,8157.7,118.73,966481.2
2020-03-05 05-PM,BTCEUR,8133,8162.9,8116.2,8134.7,137.48,1119416.2
2020-03-05 04-PM,BTCEUR,8143.3,8170.5,8115.7,8133,220.64,1795469.81
2020-03-05 03-PM,BTCEUR,8086.5,8148.1,8082,8143.3,253.67,2057939.67
2020-03-05 02-PM,BTCEUR,8133.4,8148.9,8082.4,8086.5,286.54,2325184.98
2020-03-05 01-PM,BTCEUR,8119.5,8134.5,8093,8133.4,338.17,2743995.73
2020-03-05 12-PM,BTCEUR,8156.6,8171.9,8119.5,8119.5,352.9,2876221.32
2020-03-05 11-AM,BTCEUR,8147.9,8178.6,8132.1,8156.6,353.43,2883430.77
2020-03-05 10-AM,BTCEUR,8142.7,8150,8106.2,8147.9,306.66,2492797.35
2020-03-05 09-AM,BTCEUR,8017.2,8150,8013.9,8142.7,664.12,5375019.73
2020-03-05 08-AM,BTCEUR,8009,8024,8000.4,8017.2,176.33,1413000.85
2020-03-05 07-AM,BTCEUR,8029.9,8037.2,7992.2,8009,117.76,944056.38
2020-03-05 06-AM,BTCEUR,8024,8040,8007.6,8029.9,103.41,830184.73
2020-03-05 05-AM,BTCEUR,7995.1,8033.3,7994.3,8024,27.57,220924.65
2020-03-05 04-AM,BTCEUR,7976.6,8008.4,7968.8,7995.1,48.75,389711.99
2020-03-05 03-AM,BTCEUR,8016.5,8034.3,7969.5,7976.6,51.84,414879.7
2020-03-05 02-AM,BTCEUR,7972.9,8025,7959.8,8016.5,166.7,1332899.37
2020-03-05 01-AM,BTCEUR,7965.7,7979.9,7938.2,7972.9,152.05,1210374.91
2020-03-05 12-AM,BTCEUR,7872.7,7975,7869.6,7965.7,190.77,1511098.46
2020-03-04 11-PM,BTCEUR,7868,7878.8,7860,7872.7,51.86,408323.26
2020-03-04 10-PM,BTCEUR,7852,7876.8,7850,7868,46.65,366786.3
2020-03-04 09-PM,BTCEUR,7830,7855.3,7825,7852,122.05,957005.13
2020-03-04 08-PM,BTCEUR,7857.9,7859.4,7822,7830,127.8,1002793.62
2020-03-04 07-PM,BTCEUR,7850.7,7872.5,7845.8,7857.9,124.97,982101.29
2020-03-04 06-PM,BTCEUR,7859.4,7869.6,7814.9,7850.7,177.32,1390201.14
2020-03-04 05-PM,BTCEUR,7852.2,7869.9,7841.4,7859.4,115.3,905693.7
2020-03-04 04-PM,BTCEUR,7832.2,7852.2,7805.6,7852.2,192.46,1507239.71
2020-03-04 03-PM,BTCEUR,7863.1,7897.5,7820,7832.2,285.07,2239388.67
2020-03-04 02-PM,BTCEUR,7894.3,7929.3,7862.9,7863.1,307.59,2430035.42
2020-03-04 01-PM,BTCEUR,7874.1,7896.7,7868.8,7894.3,139.48,1098881.96
2020-03-04 12-PM,BTCEUR,7845.2,7883.9,7835.5,7874.1,214.92,1690077.34
2020-03-04 11-AM,BTCEUR,7857.4,7868.4,7814.1,7845.2,323.59,2538979.65
2020-03-04 10-AM,BTCEUR,7865.6,7875.1,7842.5,7857.4,150.45,1182526.08
2020-03-04 09-AM,BTCEUR,7918.3,7919,7864.8,7865.6,294.59,2323570.92
2020-03-04 08-AM,BTCEUR,7918.8,7924.5,7889.3,7918.3,183.17,1448027.9
2020-03-04 07-AM,BTCEUR,7894.1,7938.6,7890.8,7918.8,96.15,761718.24
2020-03-04 06-AM,BTCEUR,7935,7940,7888.6,7894.1,56.33,445124.02
2020-03-04 05-AM,BTCEUR,7921.9,7935,7902.5,7935,64.85,513378.46
2020-03-04 04-AM,BTCEUR,7880.7,7929.9,7880.7,7921.9,66.77,527672.01
2020-03-04 03-AM,BTCEUR,7894.9,7908.8,7879.8,7880.7,90.14,711273.88
2020-03-04 02-AM,BTCEUR,7887.8,7922.8,7886.2,7894.9,58.75,464451.7
2020-03-04 01-AM,BTCEUR,7871.7,7909.9,7869,7887.8,55.47,437723.91
2020-03-04 12-AM,BTCEUR,7849.5,7876.4,7825.9,7871.7,64.43,505522.96
2020-03-03 11-PM,BTCEUR,7875.5,7875.5,7842.8,7849.5,41.7,327794.59
2020-03-03 10-PM,BTCEUR,7839,7886,7825,7875.5,88.43,694985.27
